NAME,ARTIST,MOOD
"Born to shine 
",Diljit Dosanjh ,HAPPY
Kabhi kabhi aditi ,AR Rahman,HAPPY
Ye Dil Aur Unki,Lata Mangeshkar ,HAPPY
Pal Bhar Me Ye kya,Lata Mangeshkar ,HAPPY
Tere Liye Palko Ki,Lata Mangeshkar ,HAPPY
Mujhe Chhu Rahi Hai,Lata Mangeshkar ,HAPPY
Mausam Hai Aasiqana,Lata Mangeshkar ,HAPPY
Ye Mulaqat Ek Bahana,Lata Mangeshkar ,HAPPY
Ajnabi Kaun Ho Tum,Lata Mangeshkar ,HAPPY
Ye Sama Sama Hai Ye,Lata Mangeshkar ,HAPPY
Dil Jo Na Kah Saka,Lata Mangeshkar ,HAPPY
Jane Kya Bat Hai,Lata Mangeshkar ,HAPPY
Aum chants,Pulse 404,HAPPY
212,Azealia Banks,HAPPY
Bust A Move,Young MC,HAPPY
Americano,Lady Gaga,HAPPY
All you need is love ,Beetles,HAPPY
Make me happy,Kendrick Lamar,HAPPY
Rich spirit ,Kendrick Lamar,HAPPY
Happy ,Travis Scott,HAPPY
Butterfly effect,Travis Scott,HAPPY
" Sky full of stars
",Cold play,HAPPY
"When we were young 
",Adelle,HAPPY
Skrillex ,Sonny Moore,HAPPY
Raag Maluha Kalyan ,Pandit Nikhil Banerjee,HAPPY
Delilah,Fred Again,HAPPY
Adore u,Fred Again,HAPPY
Bleu,Fred Again,HAPPY
"I Want you
",Morten Bramsen,HAPPY
Angel With A Shot Gun,The Cab,HAPPY
Sweet Child O Mine ,GNR,HAPPY
Shape of you,Ed Sheeran,HAPPY
All I wanna do,Sheryl Crowe,HAPPY
Houdini,Eminem,HAPPY
Sunroof ,Nicky Youre,HAPPY
Somewhere over the rainbow,Israel Kamakawiwoole,HAPPY
How you like that ,Blackpink,HAPPY
Queen,Abba,HAPPY
Perfect Symphony,Ed Sheeran ,HAPPY
Divine ,Vivan Fernandes,HAPPY
Dheere dheere,Yo yo honey singh,HAPPY
Walking on sunshine ,Katrina and the waves,HAPPY
Dancing queen ,Abba,HAPPY
Dekh lena,Tulsi kumar,HAPPY
Jaan,Sonu Nigam ,HAPPY
the way i are,Timbaland,HAPPY
Happier,Ed Sheeran ,HAPPY
Humnava mere,Jubin Nautiyal ,HAPPY
Blinding lights,The Weekend ,HAPPY
"
Such a happy day",Monroes ,HAPPY
Skinny Love,Birdy,SAD
I Lost a Friend,FINNEAS,SAD
listen before i go,Billie Eilish,SAD
Irreplaceable,Zak Manley,SAD
i love you,Billie Eilish,SAD
goodbye,Billie Eilish,SAD
idontwannabeyouanymore,Billie Eilish,SAD
lovely (with Khalid),"Billie Eilish, Khalid",SAD
Out Of Love,Alessia Cara,SAD
Bad Habit,Ben Platt,SAD
Words Fail,Ben Platt,SAD
The Night We Met,Lord Huron,SAD
Apocalypse,Cigarettes After Sex,SAD
Get You The Moon (feat. Snøw),"Kina, Snøw",SAD
Can We Kiss Forever?,"Kina, Adriana Proenza",SAD
Someone You Loved,Lewis Capaldi,SAD
Daddy Issues,The Neighbourhood,SAD
Dead and Cold,SadBoyProlific,SAD
Alone,Lund,SAD
R.I.P. (feat. Trippie Redd),"Joji, Trippie Redd",SAD
Clocks,Coldplay,SAD
Give Me Love,Ed Sheeran,SAD
Berlin,RY X,SAD
Over My Head (Cable Car),The Fray,SAD
now that i know you,Julian,SAD
Need You Now,Dean Lewis,SAD
all the kids are depressed,Jeremy Zucker,SAD
Last Time,Anson Seabra,SAD
All I Want,Kodaline,SAD
All I Want,"Olivia Rodrigo, Disney",SAD
Coaster,Khalid,SAD
8 Letters,Why Don't We,SAD
Dancing On My Own,Calum Scott,SAD
If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",SAD
everything i wanted,Billie Eilish,SAD
Mind Over Matter,Young the Giant,SAD
Ghosts,BANNERS,SAD
Atlas: Touch,Sleeping At Last,SAD
Yours,Russell Dickerson,SAD
Always,"Gavin James, Philippine",SAD
That's Us,Anson Seabra,SAD
Look After You,The Fray,SAD
Waves,Dean Lewis,SAD
Worst of You,Maisie Peters,SAD
Silhouette,Aquilo,SAD
Talking Slow,Dylan Jordan,SAD
Before You Go,Lewis Capaldi,SAD
Medicine,Daughter,SAD
Gum,Moose Blood,SAD
NYLA,blackbear,SAD
Cherry,Moose Blood,SAD
worldstar money (interlude),Joji,SAD
It's Ok,Tom Rosenthal,SAD
We Had to End It,Cuco,SAD
better off,"Jeremy Zucker, Chelsea Cutler",SAD
Palace,Sam Smith,SAD
In My Head,Peter Manos,SAD
Wait,M83,SAD
K.,Cigarettes After Sex,SAD
Seigfried,Frank Ocean,SAD
Mystery of Love,Sufjan Stevens,SAD
Leray,Trippie Redd,SAD
Vas,jagger finn,SAD
Lost My Lover,Ali Gatie,SAD
I Still Love You,Phora,SAD
If You Want Love,NF,SAD
Two Ghosts,Harry Styles,SAD
Life is Beautiful,Lil Peep,SAD
Honesty,Pink Sweat$,SAD
Leave,Post Malone,SAD
One Day,Tate McRae,SAD
Trying My Best,Anson Seabra,SAD
Girl Crush,Little Big Town,SAD
Please Notice,Christian Leave,SAD
Worthy Of You,Plested,SAD
How Could You Leave Us,NF,SAD
Heather,Conan Gray,SAD
Nobody Wants Me Tonight,Susannah Joffe,SAD
Moral of the Story (feat. Niall Horan),"Ashe, Niall Horan",SAD
feel something,Bea Miller,SAD
Teenage Mind,Tate McRae,SAD
Chosen Last,Sara Kays,SAD
As the World Caves In,Matt Maltese,SAD
Mr Loverman,Ricky Montgomery,SAD
Selfish,Madison Beer,SAD
Tequila,Dan + Shay,SAD
I Just Really Hope You Exist,Cassie McMillan,SAD
Portland Nights,Genevieve Stokes,SAD
Roslyn,Ben Pellow,SAD
Arcade,Duncan Laurence,SAD
I've Given Up on You,Real Friends,SAD
Break My Heart Again,FINNEAS,SAD
Hung up on You,Tate McRae,SAD
You Broke My Heart Again,"Teqkoi, Aiko",SAD
"I'm Sorry, I'm Trying","nothing,nowhere.",SAD
Dear Society,Madison Beer,SAD
Blackout,Freya Ridings,SAD
Sober,Demi Lovato,SAD
Falling For Boys,Julia Michaels,SAD
Jealous,Labrinth,SAD
Same Room,JP Saxe,SAD
Atlantis,Seafret,SAD
Happiest Year,Jaymes Young,SAD
December,Neck Deep,SAD
you were good to me,"Jeremy Zucker, Chelsea Cutler",SAD
Falling,Harry Styles,SAD
July,Noah Cyrus,SAD
Bruises,Lewis Capaldi,SAD
tear myself apart,Tate McRae,SAD
scared,Jeremy Zucker,SAD
Ease My Mind,Ben Platt,SAD
"I miss you, I’m sorry",Gracie Abrams,SAD
3:00 AM,Finding Hope,SAD
Temporary Love,Ben Platt,SAD
ghostin,Ariana Grande,SAD
the broken hearts club,gnash,SAD
drivers license,Olivia Rodrigo,SAD
Turning Page,Sydney Rose,SAD
Your Power,Billie Eilish,SAD
favorite crime,Olivia Rodrigo,SAD
traitor,Olivia Rodrigo,SAD
Die Alone,FINNEAS,SAD
A Soulmate Who Wasn’t Meant to Be,Jess Benko,SAD
Lonely,Noah Cyrus,SAD
Already Gone,Sleeping At Last,SAD
Arcade,Duncan Laurence,SAD
Coffee Cups and Cigarettes,Tomo,SAD
Don't Watch Me Cry,Jorja Smith,SAD
champagne problems,Taylor Swift,SAD
"Married Life (from ""Up"") [Piano Version]",The Wild Conductor,SAD
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,SAD
Love In The Dark,Adele,SAD
Matilda,Harry Styles,SAD
Glimpse of Us,Joji,SAD
If By Chance,Ruth B.,SAD
Dancing With Your Ghost,Sasha Alex Sloan,SAD
i luv him.,Catie Turner,SAD
Mean It,Gracie Abrams,SAD
Perfectly Wrong,Shawn Mendes,SAD
Broken,Anson Seabra,SAD
Say,Ruel,SAD
Late Night Talking,Ally Salort,SAD
Tattoos,Reneé Rapp,SAD
Let You Break My Heart Again,"Laufey, Philharmonia Orchestra",SAD
I Can't Carry This Anymore,Anson Seabra,SAD
IDK You Yet,Alexander 23,SAD
What A Time (feat. Niall Horan),"Julia Michaels, Niall Horan",SAD
Forever,Lewis Capaldi,SAD
Lookalike,Conan Gray,SAD
Changes,Hayd,SAD
Water Fountain,Alec Benjamin,SAD
Complicated,Olivia O'Brien,SAD
Wrong Direction,Hailee Steinfeld,SAD
Remember That Night?,Sara Kays,SAD
Hard Sometimes,Ruel,SAD
Castle of Glass ,Linkin Park,SAD
Someone Like You ,Adele,SAD
Kya Huya Tera Wada,Mohd. Rafi,SAD
O Paalanhaare,A R. Rahman,SAD
Kal Ho Na Ho,Sonu Nigam,SAD
Dhoop Paani Bahne De,KK ,SAD
The Night We Met,Lord Huron,SAD
Rosyln ,Bon Iver ,SAD
All the tires horses ,Lisa O'Nell,SAD
Runaway ,Kanye West,SAD
"Musafir ho yaaro,na Ghar hai na thikana",Kishor Kumar,SAD
Aarambh Hai Prachand,Piyush Mishra,SAD
"Tu Na Jaane Aas Paas Hai Khuda
",Rahat Fateh Ali Khan,SAD
Humko Kiske Gham Ne Maara ,Ghulam Ali Khan,SAD
Ronan,Taylor Swift,SAD
"Agar tum sath ho 
",Arijit Singh,SAD
Tu jo rutha,Arijit Singh,SAD
Zindagi ek safar,Kishore Kumar ,SAD
TumHiHoSong,Arijit Singh,SAD
Zindagi ek safar hai suhana  ,Kishore Kumar ,SAD
Aap Kiun Roye,Martab ali khan songs,SAD
Chidiya,Vilen,SAD
Stairway to heaven ,led Zeppelin ,SAD
Aise kyu,Rekha Bharadwaj ,SAD
Some nights ,FUN,SAD
Ek pyar ka nagama hai ,Lata mangeshkar ,SAD
Tired mind ,Martin Czerny ,SAD
What Was I Made For,Billie Eilish,SAD
Zindagi Se Badi Saza Hi Nahi,Gazal Jagjit Singh,SAD
Downers At Dusk,Talah anjum ,SAD
Musafir,Atif Aslam,SAD
Humari adhuri kahani ,Arijit Singh,SAD
Tere naam,Udit narayan ,SAD
Aum chants,Sadhguiru,SAD
Kal ho naa ho,Sonu Nigam ,SAD
Aur ho ,Mohit Chauhan and Alma Ferovic,SAD
Pluto projector ,Rex Orange County,SAD
Coldplay,Chris Martin,SAD
Ciggerate after sex,Greg Gonzalez,SAD
"Ek pyar ka naghma hai
",Lata Mangeshkar ,SAD
"Raga Kaunshi Kanada
", Sharan Rani,SAD
Breakeven,The Script,SAD
Snowfall,Oneheart & reidenshi,SAD
"Knowing me, knowing you",Johnny Cash,SAD
Watch Over You ,Alter Bridge,SAD
Numb,Linkin Park,SAD
Sad movies,Sue Thompson ,SAD
Okolo bytovky ,Metallica,SAD
Heavy ,Citizen soldier,SAD
Way back into love,Hugh Grant,SAD
No surprises  ,Radiohead,SAD
Teri Yaadon mein,KK ,SAD
Teach me how to pray,Jim Reeves ,SAD
Pehli Nazar Mein,Atif aslam,SAD
You Can't Take Me,Bryan Adams ,SAD
Please forgive me ,Bryan Adams ,SAD
He Stopped Loving Her Today,George Jones,SAD
Divine,Vivian Fernandes,SAD
Zindagi Is Taraah Se Lagne Lagi,Sonu Nigam ,SAD
Kun Faya Kun,Mohit Chauhan ,SAD
Hillsong ,Ed Sheeran,SAD
Jo Bheji Thi Duaa,Arijit Singh,SAD
Memories,Maroon 5,SAD
Skinny Love,Bon Iver & St. Vincent,SAD
I Lost a Friend,Birdy,SAD
listen before i go,FINNEAS,SAD
Irreplaceable,Billie Eilish,SAD
i love you,Zak Manley,SAD
goodbye,Billie Eilish,SAD
idontwannabeyouanymore,Billie Eilish,SAD
lovely (with Khalid),Billie Eilish,SAD
Out Of Love,"Billie Eilish, Khalid",SAD
Bad Habit,Alessia Cara,SAD
Words Fail,Ben Platt,SAD
The Night We Met,Ben Platt,SAD
Apocalypse,Lord Huron,SAD
Get You The Moon (feat. Snøw),Cigarettes After Sex,SAD
Can We Kiss Forever?,"Kina, Snøw",SAD
Someone You Loved,"Kina, Adriana Proenza",SAD
Daddy Issues,Lewis Capaldi,SAD
Dead and Cold,The Neighbourhood,SAD
Alone,SadBoyProlific,SAD
R.I.P. (feat. Trippie Redd),Lund,SAD
Clocks,"Joji, Trippie Redd",SAD
Give Me Love,Coldplay,SAD
Berlin,Ed Sheeran,SAD
Over My Head (Cable Car),RY X,SAD
now that i know you,The Fray,SAD
Need You Now,Julian,SAD
all the kids are depressed,Dean Lewis,SAD
Last Time,Jeremy Zucker,SAD
All I Want,Anson Seabra,SAD
All I Want,Kodaline,SAD
Coaster,"Olivia Rodrigo, Disney",SAD
8 Letters,Khalid,SAD
Dancing On My Own,Why Don't We,SAD
If the World Was Ending (feat. Julia Michaels),Calum Scott,SAD
everything i wanted,"JP Saxe, Julia Michaels",SAD
Mind Over Matter,Billie Eilish,SAD
Ghosts,Young the Giant,SAD
Atlas: Touch,BANNERS,SAD
Yours,Sleeping At Last,SAD
Always,Russell Dickerson,SAD
That's Us,"Gavin James, Philippine",SAD
Look After You,Anson Seabra,SAD
Waves,The Fray,SAD
Worst of You,Dean Lewis,SAD
Silhouette,Maisie Peters,SAD
Talking Slow,Aquilo,SAD
Before You Go,Dylan Jordan,SAD
Medicine,Lewis Capaldi,SAD
Gum,Daughter,SAD
NYLA,Moose Blood,SAD
Cherry,blackbear,SAD
worldstar money (interlude),Moose Blood,SAD
It's Ok,Joji,SAD
We Had to End It,Tom Rosenthal,SAD
better off,Cuco,SAD
Palace,"Jeremy Zucker, Chelsea Cutler",SAD
In My Head,Sam Smith,SAD
Wait,Peter Manos,SAD
K.,M83,SAD
Seigfried,Cigarettes After Sex,SAD
Mystery of Love,Frank Ocean,SAD
Leray,Sufjan Stevens,SAD
Vas,Trippie Redd,SAD
Lost My Lover,jagger finn,SAD
I Still Love You,Ali Gatie,SAD
If You Want Love,Phora,SAD
Two Ghosts,NF,SAD
Life is Beautiful,Harry Styles,SAD
Honesty,Lil Peep,SAD
Leave,Pink Sweat$,SAD
One Day,Post Malone,SAD
Trying My Best,Tate McRae,SAD
Girl Crush,Anson Seabra,SAD
Please Notice,Little Big Town,SAD
Worthy Of You,Christian Leave,SAD
How Could You Leave Us,Plested,SAD
Heather,NF,SAD
Nobody Wants Me Tonight,Conan Gray,SAD
Moral of the Story (feat. Niall Horan),Susannah Joffe,SAD
feel something,"Ashe, Niall Horan",SAD
Teenage Mind,Bea Miller,SAD
Chosen Last,Tate McRae,SAD
As the World Caves In,Sara Kays,SAD
Mr Loverman,Matt Maltese,SAD
Selfish,Ricky Montgomery,SAD
Tequila,Madison Beer,SAD
I Just Really Hope You Exist,Dan + Shay,SAD
Portland Nights,Cassie McMillan,SAD
Roslyn,Genevieve Stokes,SAD
Arcade,Ben Pellow,SAD
I've Given Up on You,Duncan Laurence,SAD
Break My Heart Again,Real Friends,SAD
Hung up on You,FINNEAS,SAD
You Broke My Heart Again,Tate McRae,SAD
"I'm Sorry, I'm Trying","Teqkoi, Aiko",SAD
Dear Society,"nothing,nowhere.",SAD
Blackout,Madison Beer,SAD
Sober,Freya Ridings,SAD
Falling For Boys,Demi Lovato,SAD
Jealous,Julia Michaels,SAD
Same Room,Labrinth,SAD
Atlantis,JP Saxe,SAD
Happiest Year,Seafret,SAD
December,Jaymes Young,SAD
you were good to me,Neck Deep,SAD
Falling,"Jeremy Zucker, Chelsea Cutler",SAD
July,Harry Styles,SAD
Bruises,Noah Cyrus,SAD
tear myself apart,Lewis Capaldi,SAD
scared,Tate McRae,SAD
Ease My Mind,Jeremy Zucker,SAD
"I miss you, I am sorry",Ben Platt,SAD
3:00 AM,Gracie Abrams,SAD
Temporary Love,Finding Hope,SAD
ghostin,Ben Platt,SAD
the broken hearts club,Ariana Grande,SAD
drivers license,gnash,SAD
Turning Page,Olivia Rodrigo,SAD
Your Power,Sydney Rose,SAD
favorite crime,Billie Eilish,SAD
traitor,Olivia Rodrigo,SAD
Die Alone,Olivia Rodrigo,SAD
A Soulmate Who Wasn’t Meant to Be,FINNEAS,SAD
Lonely,Jess Benko,SAD
Already Gone,Noah Cyrus,SAD
Arcade,Sleeping At Last,SAD
Coffee Cups and Cigarettes,Duncan Laurence,SAD
Don't Watch Me Cry,Tomo,SAD
champagne problems,Jorja Smith,SAD
"Married Life (from ""Up"") [Piano Version]",Taylor Swift,SAD
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,The Wild Conductor,SAD
Love In The Dark,Taylor Swift,SAD
Matilda,Adele,SAD
Glimpse of Us,Harry Styles,SAD
If By Chance,Joji,SAD
Dancing With Your Ghost,Ruth B.,SAD
i luv him.,Sasha Alex Sloan,SAD
Mean It,Catie Turner,SAD
Perfectly Wrong,Gracie Abrams,SAD
Broken,Shawn Mendes,SAD
Say,Anson Seabra,SAD
Late Night Talking,Ruel,SAD
Tattoos,Ally Salort,SAD
Let You Break My Heart Again,Reneé Rapp,SAD
I Can't Carry This Anymore,"Laufey, Philharmonia Orchestra",SAD
IDK You Yet,Anson Seabra,SAD
What A Time (feat. Niall Horan),Alexander 23,SAD
Forever,"Julia Michaels, Niall Horan",SAD
Lookalike,Lewis Capaldi,SAD
Changes,Conan Gray,SAD
Water Fountain,Hayd,SAD
Complicated,Alec Benjamin,SAD
Wrong Direction,Olivia O'Brien,SAD
Remember That Night?,Hailee Steinfeld,SAD
Hard Sometimes,Sara Kays,SAD
Painkiller,Ruel,SAD
Cheques ,Shubh,SCARED
Hanuman chalisa,Saint Goswami Tulsi Das,SCARED
Scared to be lonely,Martin Garrix,SCARED
"Tajdar-E-Haram

",Atif Aslam,SCARED
"Nai nai vay,hobe hobe Joy",Pankaj Mallik,SCARED
Kun Faya Kun,A.R Rahman,SCARED
Thiunder,Imagine Dragons,SCARED
Hide and seek artist,Lizz Robinett,SCARED
Don't move,Jeremy zucker,SCARED
Bhalwani Gedi,Jassa Dhillon,SCARED
Iam unstoppable ,Srtidt Sia,SCARED
Dance of death, Iron maiden,SCARED
Aarambh hai prachand,Piyush mishra,SCARED
Counting stars ,One republic ,SCARED
 One, Metallica,SCARED
River flows in you,Yiruma,SCARED
Sawan Aaya Hain,Arjeet singh,SCARED
Haseya,Ajeet,SCARED
Aakal,Ajeet,SCARED
Hanuman chalisa lowfy,Rasheaji Maharaj ,SCARED
Agar tum sath ho,Arjit singh ,SCARED
Saade tin bita k pichkari,Pawan singh ,SCARED
Top Tucker,Mohit Chauhan ,SCARED
Hanuman chalisa ,Hariharan,SCARED
Love$ick ,Mura Masa and A$AP Rocky,SCARED
Rock music ,,SCARED
"Raag Hemant 
",Pandit Nikhil Banerjee,SCARED
Losing it,Fisher,SCARED
Toxic,Youngx777,SCARED
In sunlight,Tina Malia,SCARED
Lord I hope this day is good. ,Don Williams,SCARED
What a beautiful name,Hillsong,SCARED
For that second,Rob Scallon ,SCARED
Hero ,Mariah Carey,SCARED
Without me,Eminem,SCARED
Time won't wait,Sum 41,SCARED
We are the champions ,queen,SCARED
Little lion man ,Mumford and sons,SCARED
Rescue,Don moen ,SCARED
Samson Delilah,Davis,SCARED
Amazing Grace,Chris Tomlin,SCARED
God will make a way,Don moen ,
Gospel,Still Hilary Scott ,SCARED
Gunegaar,Divine,SCARED
Vajrakaya,Shankar Mahadevan ,SCARED
Everythinggoes ,RM,SCARED
Tum Ko dekha to ye khayal aya,Jagjit Singh ,SCARED
Om Jay Jagadish Hare,Anup jalota,SCARED
Pawansut,Narci,SCARED
doll,Shrimp,SCARED
Show Runner 99,Ritt Momney,SCARED
talk every night,dyl dion,SCARED
Moonboy,Bennett Coast,SCARED
would've been you,sombr,SCARED
My rock song,Postcard Boy,SCARED
Problems,Pinegrove,SCARED
Maybe the Problem Is Me,dexter in the newsagent,SCARED
Second Guessing,Pity Party (Girls Club),SCARED
could you love me while i hate myself,Zeph,SCARED
Baby,Brandon,SCARED
whose you are,jake minch,SCARED
Mary,Alex G,SCARED
we were girls together,Delaney Bailey,SCARED
someday i'll get it,Alek Olsen,SCARED
Pull,Christian Leave,SCARED
Killswitch Lullaby,Flawed Mangoes,SCARED
ur so pretty,Wasia Project,SCARED
Steeeam,Shelly,SCARED
I'm Not Them,Them & I,SCARED
bad weather,dyl dion,SCARED
at least i lived it with you,carwash,SCARED
Better,sign crushes motorist,SCARED
Mary,Alex G,SCARED
lover's grip,Them & I,SCARED
Wet Cement,Gus Dapperton,SCARED
BAD FRUIT*,"Jean Dawson, Earl Sweatshirt",SCARED
Car Crash in G Major,fanclubwallet,SCARED
july,dyl dion,SCARED
Maybe I’m Lonely,Rachel Chinouriri,SCARED
Hearing Your Voice,Omar Apollo,SCARED
under your weather,dyl dion,SCARED
Intermission,Strawberry Guy,SCARED
at least i'm pretty,Harriette,SCARED
This Is Home,Cavetown,SCARED
Swing Lynn,Harmless,SCARED
Coffee,beabadoobee,SCARED
we lie apart,adolescent dreams,SCARED
scared about what we'll be,dyl dion,SCARED
Fool,Frankie Cosmos,SCARED
Sleep Well,d4vd,SCARED
School Rooftop,"Hisohkah, WMD",SCARED
Flaming Hot Cheetos,Clairo,SCARED
pouring outside,dyl dion,SCARED
Lost in You,khai dreams,SCARED
YKWIM?,Yot Club,SCARED
Heather,Conan Gray,SCARED
Gilded Lily,Cults,SCARED
Space Song,Beach House,SCARED
Where'd All the Time Go?,Dr. Dog,SCARED
Become the Warm Jets,Current Joys,SCARED
Fantasy,khai dreams,SCARED
Kids,Current Joys,SCARED
rises the moon,Liana Flores,SCARED
SLOW DANCING IN THE DARK,Joji,SCARED
novocaine,"GenriX, CORBAL, Shiloh Dynasty",SCARED
Vas,jagger finn,SCARED
Here With Me,d4vd,SCARED
Loverboy,A-Wall,SCARED
Fear,Current Joys,SCARED
Juliet,Cavetown,SCARED
The Loser,Verzache,SCARED
Drifting Away,khai dreams,SCARED
I Can't Handle Change,Roar,SCARED
worldstar money (interlude),Joji,SCARED
Mrs Magic,Strawberry Guy,SCARED
Christmas Kids,Roar,SCARED
Pope Is a Rockstar,SALES,SCARED
i was all over her,salvia palth,SCARED
Young,Vacations,SCARED
F Song,Strawberry Guy,SCARED
YEAH RIGHT,Joji,SCARED
Please,jagger finn,SCARED
For the First Time,Mac DeMarco,SCARED
Landlord,Yot Club,SCARED
Birch Tree,Strawberry Guy,SCARED
Kenny,Still Woozy,SCARED
New Flesh,Current Joys,SCARED
Still Beating,Mac DeMarco,SCARED
Bubble Gum,Clairo,SCARED
Always Forever,Cults,SCARED
I Love You So,The Walters,SCARED
Telephones,Vacations,SCARED
Homage,Mild High Club,SCARED
Lover Is a Day,Cuco,SCARED
welcome and goodbye,"Dream, Ivory",SCARED
Home,Vacations,SCARED
Money,The Drums,SCARED
Blondie,Current Joys,SCARED
no way !,Yot Club,SCARED
Friends,Vacations,SCARED
MINE,awfultune,SCARED
Relax,Vacations,SCARED
Not Allowed,TV Girl,SCARED
Treehouse,"Alex G, Emily Yacina",SCARED
Tired,beabadoobee,SCARED
Kingston,Faye Webster,SCARED
Tinder Song,Victor Internet,SCARED
Inside Out,Duster,SCARED
I Met Sarah in the Bathroom,awfultune,SCARED
"Dream, Ivory","Dream, Ivory",SCARED
Bloom Later,Jesse®,SCARED
WANTED U,Joji,SCARED
striptease,carwash,SCARED
Looking Out for You,Joy Again,SCARED
Blue,"Dream, Ivory",SCARED
My Kind of Woman,Mac DeMarco,SCARED
How - demo,Clairo,SCARED
Show Me How,Men I Trust,SCARED
Watching Him Fade Away,Mac DeMarco,SCARED
Dog Song,Yot Club,SCARED
Lovers Rock,TV Girl,SCARED
Jealous,Eyedress,SCARED
She Likes Another Boy,Oscar Lang,SCARED
we fell in love in october,girl in red,SCARED
Heart To Heart,Mac DeMarco,SCARED
Don't Forget About Me,d4vd,SCARED
What Would I Do?,Strawberry Guy,SCARED
Apocalypse,Cigarettes After Sex,SCARED
Come Over And Love Me,Love Spells,SCARED
Sunsetz,Cigarettes After Sex,SCARED
Pluto Projector,Rex Orange County,SCARED
Cocaine Sunday,Eyedress,SCARED
Pretty Boy,The Neighbourhood,SCARED
Mr. Loverman,Ricky Montgomery,SCARED
Blue Hair,TV Girl,SCARED
The Moon Song,"beabadoobee, Oscar Lang",SCARED
Constellations,Duster,SCARED
Die For You,Joji,SCARED
Chandelier,Will Paquin,SCARED
My Love Mine All Mine,Mitski,SCARED
Good Looking,Suki Waterhouse,SCARED
Dream Girl,Crisaunt,SCARED
Moonlight on the River,Mac DeMarco,SCARED
Pretty Girl,Clairo,SCARED
From the Subway Train,Vansire,SCARED
The Blonde,TV Girl,SCARED
Cigarettes out the Window,TV Girl,SCARED
Starboy ,Weeknd ,ANGRY
Sadda haq,A.R .Rahman,ANGRY
Shoorveer 3,Rapperita Baalam,ANGRY
Ziddi Dil,Prashant Ingole,ANGRY
Believer,Imagine Dragons,ANGRY
Thank God,Travis Scott,ANGRY
Don't Let me down,Chain Smokers,ANGRY
Paintra,Divine,ANGRY
"Can’t take it no more
",Brigitte Laverne,ANGRY
Don't get in my way ,Zack Hemsey,ANGRY
"Rap God 
",Eminem,ANGRY
Mar jharu mar jharu mere jhetie bidey kor,Anup Ghoshal ,ANGRY
Thunde,Imagine dragons ,ANGRY
Green Day,Boulevard of broken dreams,ANGRY
Song:Angry too artist ,Lola Blanc,ANGRY
khamoshian,Javed Ali,ANGRY
Aarambh ,Piyush mishra ,ANGRY
Teri hoi na hundi,Ninja,ANGRY
Ek raat,Vilen,ANGRY
Alexander the great,iron maiden ,ANGRY
Ohm chanting ,S.Turner,ANGRY
Get ready to fight ,Benny dayal,ANGRY
